slope_angle_deg,factor_of_safety,green_index,rainfall_mm_day,pore_pressure_kpa,risk_score
15.63,1.52,0.99,19.04,9.13,0.09
35.7,0.55,0.74,19.86,27.6,0.21
30.84,1.71,0.16,6.6,19.57,0.2
49.86,1.0,0.29,13.39,23.72,0.26
34.51,1.37,0.77,23.97,52.05,0.2
2.05,1.41,0.58,16.77,18.88,0.08
21.24,1.36,0.6,8.71,35.99,0.14
33.81,1.09,0.22,28.07,30.54,0.23
9.5,1.1,0.25,35.88,25.41,0.16
17.04,1.66,0.27,28.31,59.95,0.17
31.41,1.54,0.58,9.24,0.0,0.15
35.82,1.14,0.11,5.46,13.61,0.22
42.26,1.16,0.65,38.27,22.76,0.24
18.96,1.51,0.66,21.26,52.36,0.14
36.2,2.03,0.09,35.94,7.59,0.2
42.76,0.7,0.89,14.36,30.56,0.22
24.99,0.92,0.41,10.9,50.95,0.2
49.56,2.01,0.84,64.53,25.1,0.24
52.09,1.38,0.43,7.97,8.24,0.25
7.41,0.93,0.76,5.77,57.28,0.12
25.31,1.65,0.62,58.87,37.16,0.19
31.26,1.11,0.88,17.81,2.95,0.16
43.66,0.91,0.11,1.32,20.57,0.25
50.34,0.9,0.48,0.18,0.0,0.23
17.29,1.33,0.74,10.13,0.02,0.11
40.04,1.85,0.45,1.93,0.0,0.19
45.73,1.69,0.9,0.88,24.48,0.2
38.32,1.74,0.2,5.89,0.15,0.2
21.82,1.88,0.64,6.03,46.09,0.13
46.16,0.34,0.27,6.38,27.33,0.27
41.6,1.45,0.31,18.09,9.93,0.22
43.3,1.64,0.32,25.14,43.57,0.23
46.42,1.42,0.27,5.2,19.15,0.24
42.15,1.43,0.77,13.84,21.14,0.22
37.19,1.35,0.42,2.4,45.22,0.21
10.23,1.42,0.14,17.01,27.52,0.12
34.59,1.61,0.57,5.16,63.92,0.2
39.22,0.75,0.69,5.74,33.64,0.22
18.71,1.79,0.28,3.18,36.65,0.14
32.96,1.31,0.88,14.83,4.73,0.17
37.69,1.24,0.24,15.18,27.39,0.24
57.61,0.39,0.75,1.16,13.63,0.3
14.69,1.98,0.45,16.69,36.59,0.15
